timestamp,region,pm25,temperature,humidity
2025-02-09T22:30:00.000Z,US Diplomatic Post: New Delhi-8118,178.0,21.52,50.61
2025-02-10T02:30:00.000Z,US Diplomatic Post: New Delhi-8118,178.0,34.52,41.54
2025-02-10T06:30:00.000Z,US Diplomatic Post: New Delhi-8118,72.0,34.52,59.25
2025-02-10T10:30:00.000Z,US Diplomatic Post: New Delhi-8118,59.0,25.29,55.17
2025-02-10T14:30:00.000Z,US Diplomatic Post: New Delhi-8118,86.0,26.74,69.19
2025-02-10T18:30:00.000Z,US Diplomatic Post: New Delhi-8118,165.0,27.15,50.03
2025-02-10T21:30:00.000Z,US Diplomatic Post: New Delhi-8118,214.0,26.75,48.01
2025-02-11T01:30:00.000Z,US Diplomatic Post: New Delhi-8118,158.0,30.96,31.84
