timestamp,region,pm25,temperature,humidity
2025-01-31T01:30:00.000Z,US Diplomatic Post: New Delhi-8118,-999.0,24.65,59.89
2025-01-31T05:30:00.000Z,US Diplomatic Post: New Delhi-8118,13.0,24.79,51.17
2025-01-31T09:30:00.000Z,US Diplomatic Post: New Delhi-8118,132.0,31.68,49.78
2025-01-31T13:30:00.000Z,US Diplomatic Post: New Delhi-8118,205.0,26.62,48.54
2025-01-31T17:30:00.000Z,US Diplomatic Post: New Delhi-8118,242.0,20.76,44.91
2025-01-31T20:30:00.000Z,US Diplomatic Post: New Delhi-8118,262.0,25.62,43.81
2025-02-01T00:30:00.000Z,US Diplomatic Post: New Delhi-8118,227.0,24.65,46.15
2025-02-01T04:30:00.000Z,US Diplomatic Post: New Delhi-8118,206.0,25.46,50.18
2025-02-01T08:30:00.000Z,US Diplomatic Post: New Delhi-8118,320.0,32.84,56.23
