region,timestamp,pm25,AQI_Category
New Delhi-8118,2025-01-02T06:30:00.000Z,209.0,Unhealthy
New Delhi-8118,2025-01-02T10:30:00.000Z,217.0,Unhealthy
New Delhi-8118,2025-01-02T14:30:00.000Z,262.0,Unhealthy
New Delhi-8118,2025-01-02T18:30:00.000Z,208.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-02T21:30:00.000Z,211.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T01:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-03T05:30:00.000Z,258.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T09:30:00.000Z,330.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T13:30:00.000Z,237.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T17:30:00.000Z,352.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T20:30:00.000Z,192.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T00:30:00.000Z,190.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T04:30:00.000Z,225.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T08:30:00.000Z,400.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T12:30:00.000Z,288.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T16:30:00.000Z,323.0,Unhealthy
New Delhi-8118,2025-01-04T19:30:00.000Z,254.0,Unhealthy
New Delhi-8118,2025-01-04T23:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T03:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T07:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T11:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T15:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-05T22:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T02:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T06:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-06T10:30:00.000Z,-999.0,Good
New Delhi-8118,2024-12-31T22:30:00.000Z,204.0,Unhealthy
New Delhi-8118,2025-01-01T02:30:00.000Z,165.0,Unhealthy
New Delhi-8118,2025-01-01T06:30:00.000Z,188.0,Unhealthy
New Delhi-8118,2025-01-01T10:30:00.000Z,202.0,Unhealthy
New Delhi-8118,2025-01-01T14:30:00.000Z,196.0,Unhealthy
New Delhi-8118,2025-01-01T18:30:00.000Z,200.0,Unhealthy
New Delhi-8118,2025-01-01T21:30:00.000Z,173.0,Unhealthy
New Delhi-8118,2025-01-02T01:30:00.000Z,153.0,Unhealthy
New Delhi-8118,2025-01-02T05:30:00.000Z,204.0,Unhealthy
New Delhi-8118,2025-01-02T09:30:00.000Z,213.0,Unhealthy
New Delhi-8118,2025-01-02T13:30:00.000Z,217.0,Unhealthy
New Delhi-8118,2025-01-02T17:30:00.000Z,210.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-02T20:30:00.000Z,213.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T00:30:00.000Z,-999.0,Good
US Diplomatic Post: New Delhi-8118,2025-01-03T04:30:00.000Z,210.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T08:30:00.000Z,382.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T12:30:00.000Z,213.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T16:30:00.000Z,345.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T19:30:00.000Z,250.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-03T23:30:00.000Z,180.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T03:30:00.000Z,169.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T07:30:00.000Z,442.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T11:30:00.000Z,301.0,Unhealthy
US Diplomatic Post: New Delhi-8118,2025-01-04T15:30:00.000Z,313.0,Unhealthy
New Delhi-8118,2025-01-04T22:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T02:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T06:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T10:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T14:30:00.000Z,-999.0,Good
New Delhi-8118,2025-01-05T18:30:00.000Z,-999.0,Good
